ID_Venda;Data_Compra;Ano;Mes;Evento;Cidade;Estado;Regiao;Categoria_Evento;Publico_Alvo;Canal_Aquisicao;Tipo_Ingresso;Forma_Pagamento;Status_Venda;Genero_Cliente;Idade_Cliente;Preco_Ingresso_BRL;Quantidade;Valor_Bruto_BRL;Desconto_BRL;Receita_Liquida_BRL;Custo_Evento_BRL;Curtidas_Campanha;Compartilhamentos_Campanha;Novos_Seguidores;Satisfacao;Sentimento_Publico
50;2025-03-27;2025;3;CCXP;Belém;PA;Norte;E-sports;Jovem adulto;YouTube;Online;Cartão Crédito;Confirmado;Masculino;22;34,26;1;34,26;0,00;34,26;23,67;2039;391;98;7;Positivo
51;2025-06-14;2025;6;Encontro Cosplay;Porto Alegre;RS;Sul;Cosplay;Jovem adulto;Twitch;Pista;Pix;Confirmado;Feminino;25;54,57;2;109,15;0,00;109,15;51,18;95;3;6;8;Positivo
52;2025-07-12;2025;7;Lançamento Indie;Belém;PA;Norte;E-sports;Jovem adulto;TikTok;Online;Boleto;Check-in realizado;Feminino;19;52,45;4;209,79;10,49;199,30;110,62;3482;342;118;4;Negativo
53;2025-01-04;2025;1;Encontro Cosplay;Florianópolis;SC;Sul;E-sports;Jovem adulto;TikTok;VIP;Cartão Crédito;Confirmado;Feminino;28;288,29;1;288,29;0,00;288,29;200,17;1957;243;135;10;Positivo
54;2025-11-18;2025;11;Campus Party;Rio de Janeiro;RJ;Sudeste;Quadrinhos;Adulto;Instagram;VIP;Pix;Check-in realizado;Masculino;36;383,99;3;1151,96;57,60;1094,36;555,24;327;57;29;10;Muito positivo
55;2025-08-12;2025;8;CCXP;Fortaleza;CE;Nordeste;K-pop;Jovem adulto;Instagram;VIP;Cartão Crédito;Confirmado;Masculino;42;604,19;1;604,19;60,42;543,77;397,04;1659;341;165;7;Muito positivo
56;2025-10-29;2025;10;Feira Geek Local;Recife;PE;Nordeste;Cosplay;Adolescente;Google;Pista;Cartão Crédito;Confirmado;Masculino;23;139,50;1;139,50;0,00;139,50;60,68;689;99;51;7;Neutro
57;2025-12-17;2025;12;Festival K-pop;Florianópolis;SC;Sul;E-sports;Creator/Influencer;Instagram;Camarote;Cartão Crédito;Check-in realizado;Feminino;26;475,41;2;950,82;0,00;950,82;356,80;564;73;27;10;Muito positivo
58;2025-12-16;2025;12;Anime Friends;São Paulo;SP;Sudeste;Games;Adolescente;Instagram;VIP;Carteira Digital;Confirmado;Feminino;41;658,62;2;1317,24;131,72;1185,52;655,21;659;158;57;8;Muito positivo
59;2025-12-28;2025;12;Encontro Cosplay;Salvador;BA;Nordeste;Quadrinhos;Jovem adulto;Instagram;Meet & Greet;Cartão Crédito;Check-in realizado;Masculino;43;456,48;1;456,48;0,00;456,48;277,26;3033;225;152;7;Positivo
60;2025-07-12;2025;7;CCXP;Porto Alegre;RS;Sul;Anime;Adolescente;Google;Camarote;Cartão Débito;Check-in realizado;Masculino;29;503,52;2;1007,04;0,00;1007,04;639,66;146;35;9;6;Muito positivo
61;2025-07-19;2025;7;Lançamento Indie;Salvador;BA;Nordeste;Games;Adulto;TikTok;Camarote;Pix;Confirmado;Masculino;49;523,66;2;1047,33;0,00;1047,33;378,64;3872;686;306;7;Neutro
62;2025-11-05;2025;11;Brasil Game Show;Porto Alegre;RS;Sul;Quadrinhos;Creator/Influencer;Email Marketing;Meet & Greet;Pix;Check-in realizado;Feminino;27;562,41;1;562,41;28,12;534,29;340,52;55;6;2;10;Positivo
63;2026-01-25;2026;1;Festival K-pop;Rio de Janeiro;RJ;Sudeste;K-pop;Jovem adulto;Instagram;Camarote;Pix;Confirmado;Feminino;21;807,23;1;807,23;121,08;686,15;395,90;1446;256;79;7;Positivo
64;2025-12-27;2025;12;Campus Party;Curitiba;PR;Sul;Games;Jovem adulto;YouTube;Pista;Pix;Check-in realizado;Não informado;32;123,87;1;123,87;24,77;99,10;86,69;704;149;62;3;Negativo
65;2025-08-16;2025;8;Festival K-pop;Salvador;BA;Nordeste;Tecnologia;Jovem adulto;Instagram;Pista;Cartão Débito;Confirmado;Não informado;24;96,94;1;96,94;4,85;92,09;62,45;543;76;36;6;Muito positivo
66;2025-03-28;2025;3;Encontro Cosplay;Fortaleza;CE;Nordeste;Quadrinhos;Adulto;TikTok;Pista;Pix;Check-in realizado;Feminino;22;122,39;1;122,39;6,12;116,27;60,42;990;137;47;2;Negativo
67;2025-11-27;2025;11;Encontro Cosplay;Belém;PA;Norte;Tecnologia;Adolescente;TikTok;Meet & Greet;Pix;Check-in realizado;Feminino;26;408,15;1;408,15;61,22;346,93;172,24;699;161;81;9;Muito positivo
68;2026-03-15;2026;3;Anime Friends;Brasília;DF;Centro-Oeste;Tecnologia;Adulto;Instagram;Pista;Pix;Confirmado;Masculino;27;181,61;1;181,61;0,00;181,61;126,76;2235;126;89;4;Negativo
69;2026-02-27;2026;2;Torneio E-sports;Manaus;AM;Norte;E-sports;Jovem adulto;YouTube;Pista;Pix;Confirmado;Masculino;48;67,71;3;203,12;40,62;162,50;141,38;93;7;4;4;Negativo
70;2025-12-31;2025;12;Brasil Game Show;Campinas;SP;Sudeste;Anime;Jovem adulto;Twitch;Camarote;Cartão Crédito;Confirmado;Masculino;26;640,56;1;640,56;128,11;512,45;440,14;606;42;25;10;Muito positivo
71;2025-06-20;2025;6;Torneio E-sports;Salvador;BA;Nordeste;Anime;Família;TikTok;Pista;Pix;Confirmado;Não informado;24;74,89;1;74,89;0,00;74,89;46,47;1247;180;72;2;Negativo
72;2025-11-02;2025;11;Brasil Game Show;Belém;PA;Norte;K-pop;Jovem adulto;TikTok;Pista;Pix;Confirmado;Feminino;34;97,01;4;388,03;58,20;329,83;238,25;2447;486;240;4;Negativo
73;2025-07-03;2025;7;Maratona Streamer;Indaiatuba;SP;Sudeste;Anime;Jovem adulto;Indicação;Pista;Pix;Confirmado;Feminino;27;46,70;2;93,39;4,67;88,72;48,17;218;16;6;3;Negativo
74;2025-05-03;2025;5;Campus Party;Curitiba;PR;Sul;Cosplay;Jovem adulto;Email Marketing;VIP;Cartão Crédito;Check-in realizado;Masculino;53;294,66;2;589,32;0,00;589,32;273,26;20;2;0;8;Positivo
75;2025-04-06;2025;4;Encontro Cosplay;Manaus;AM;Norte;Quadrinhos;Jovem adulto;Google;Pista;Pix;Check-in realizado;Feminino;13;94,67;1;94,67;18,93;75,74;54,18;380;69;36;4;Negativo
76;2025-02-09;2025;2;Maratona Streamer;Porto Alegre;RS;Sul;Tecnologia;Jovem adulto;Instagram;Pista;Cartão Débito;Check-in realizado;Feminino;53;59,75;1;59,75;2,99;56,76;27,49;2180;551;185;6;Positivo
77;2026-04-25;2026;4;Feira Geek Local;Curitiba;PR;Sul;Games;Adolescente;Google;Pista;Pix;Confirmado;Feminino;27;132,46;1;132,46;13,25;119,21;64,13;471;131;54;4;Negativo
78;2026-03-28;2026;3;Torneio E-sports;Manaus;AM;Norte;Cultura Geek;Jovem adulto;YouTube;Pista;Pix;Confirmado;Não informado;45;117,33;2;234,66;0,00;234,66;153,68;1238;327;160;10;Muito positivo
79;2025-01-19;2025;1;Brasil Game Show;Curitiba;PR;Sul;K-pop;Família;Instagram;Camarote;Cartão Crédito;Check-in realizado;Feminino;50;474,87;5;2374,37;356,16;2018,21;1693,60;199;29;9;9;Muito positivo
80;2025-04-14;2025;4;Maratona Streamer;Indaiatuba;SP;Sudeste;Anime;Jovem adulto;Twitch;Pista;Cartão Débito;Confirmado;Feminino;25;121,51;1;121,51;0,00;121,51;48,03;680;120;45;8;Positivo
81;2026-04-10;2026;4;Lançamento Indie;Florianópolis;SC;Sul;E-sports;Família;Twitch;Meet & Greet;Cartão Crédito;Confirmado;Feminino;26;501,35;3;1504,06;0,00;1504,06;943,13;227;61;22;10;Positivo
82;2025-01-06;2025;1;Anime Friends;Belo Horizonte;MG;Sudeste;E-sports;Jovem adulto;Instagram;Pista;Cartão Débito;Check-in realizado;Feminino;15;127,94;1;127,94;12,79;115,15;63,71;2034;200;140;9;Positivo
83;2026-04-19;2026;4;Lançamento Indie;Manaus;AM;Norte;Games;Jovem adulto;TikTok;Pista;Pix;Check-in realizado;Feminino;41;127,35;1;127,35;0,00;127,35;43,45;1292;222;111;9;Muito positivo
84;2026-03-27;2026;3;Lançamento Indie;Recife;PE;Nordeste;K-pop;Adolescente;TikTok;VIP;Pix;Confirmado;Masculino;17;262,34;2;524,69;0,00;524,69;324,56;759;79;44;10;Muito positivo
85;2025-02-04;2025;2;Campus Party;Belo Horizonte;MG;Sudeste;E-sports;Adulto;Email Marketing;Camarote;Cartão Crédito;Check-in realizado;Masculino;13;313,45;1;313,45;0,00;313,45;205,49;137;8;7;10;Positivo
86;2026-02-03;2026;2;Brasil Game Show;Indaiatuba;SP;Sudeste;Cultura Geek;Creator/Influencer;Google;Pista;Cartão Crédito;Confirmado;Não informado;38;69,69;2;139,37;6,97;132,40;52,70;291;79;34;7;Neutro
87;2026-04-09;2026;4;Brasil Game Show;Curitiba;PR;Sul;Games;Família;TikTok;Online;Cartão Crédito;Check-in realizado;Não informado;24;110,88;1;110,88;0,00;110,88;54,65;558;119;71;10;Muito positivo
88;2026-02-04;2026;2;Encontro Cosplay;Rio de Janeiro;RJ;Sudeste;E-sports;Adulto;TikTok;VIP;Cartão Crédito;Cancelado;Não informado;38;270,82;3;812,47;40,62;0,00;191,76;3023;596;233;3;Negativo
89;2025-09-21;2025;9;Campus Party;Rio de Janeiro;RJ;Sudeste;E-sports;Família;TikTok;Pista;Pix;Confirmado;Masculino;48;157,97;1;157,97;7,90;150,07;86,72;2159;591;183;10;Positivo
90;2025-11-04;2025;11;Campus Party;Goiânia;GO;Centro-Oeste;E-sports;Adulto;Twitch;VIP;Cartão Crédito;Confirmado;Masculino;39;184,73;1;184,73;9,24;175,49;115,94;491;134;40;9;Positivo
91;2025-02-17;2025;2;CCXP;Brasília;DF;Centro-Oeste;Cultura Geek;Adolescente;Indicação;Pista;Cartão Crédito;Confirmado;Masculino;35;153,54;3;460,62;46,06;414,56;190,61;114;12;7;6;Positivo
92;2026-02-10;2026;2;Torneio E-sports;Brasília;DF;Centro-Oeste;K-pop;Jovem adulto;YouTube;Pista;Cartão Débito;Check-in realizado;Masculino;37;162,39;1;162,39;8,12;154,27;77,65;384;77;30;6;Positivo
93;2025-03-29;2025;3;Feira Geek Local;Belém;PA;Norte;K-pop;Jovem adulto;Twitch;VIP;Pix;Confirmado;Masculino;53;165,94;1;165,94;0,00;165,94;59,01;255;60;19;6;Muito positivo
94;2025-06-21;2025;6;Maratona Streamer;Porto Alegre;RS;Sul;Tecnologia;Jovem adulto;Instagram;Meet & Greet;Cartão Crédito;Confirmado;Masculino;21;758,73;1;758,73;37,94;720,79;320,49;2011;466;170;8;Positivo
95;2025-09-04;2025;9;Anime Friends;Belo Horizonte;MG;Sudeste;E-sports;Jovem adulto;TikTok;Pista;Carteira Digital;Confirmado;Masculino;21;63,73;1;63,73;3,19;60,54;42,83;1475;306;167;9;Muito positivo
96;2025-06-05;2025;6;Festival K-pop;Goiânia;GO;Centro-Oeste;Games;Adulto;TikTok;Pista;Pix;Confirmado;Masculino;26;106,32;1;106,32;0,00;106,32;61,75;926;204;117;3;Negativo
97;2026-02-15;2026;2;Anime Friends;Manaus;AM;Norte;Tecnologia;Família;Instagram;Camarote;Boleto;Confirmado;Feminino;45;521,11;1;521,11;78,17;442,94;230,97;926;229;115;10;Muito positivo
98;2025-03-16;2025;3;Lançamento Indie;Belo Horizonte;MG;Sudeste;K-pop;Adulto;YouTube;Pista;Cartão Crédito;Confirmado;Feminino;52;96,83;1;96,83;0,00;96,83;49,39;241;28;23;5;Positivo
99;2025-07-15;2025;7;Brasil Game Show;São Paulo;SP;Sudeste;Tecnologia;Jovem adulto;Google;Pista;Pix;Confirmado;Masculino;43;102,40;1;102,40;5,12;97,28;58,36;288;69;19;6;Muito positivo
100;2026-05-01;2026;5;Anime Friends;Curitiba;PR;Sul;K-pop;Jovem adulto;Google;Pista;Cartão Débito;Confirmado;Masculino;24;120,45;1;120,45;6,02;114,43;55,05;497;114;45;7;Neutro
101;2025-10-28;2025;10;Anime Friends;Brasília;DF;Centro-Oeste;K-pop;Adolescente;Instagram;Pista;Carteira Digital;Check-in realizado;Masculino;40;62,13;1;62,13;0,00;62,13;39,60;797;128;45;7;Positivo
102;2026-01-26;2026;1;Campus Party;Porto Alegre;RS;Sul;E-sports;Adulto;Twitch;Camarote;Boleto;Check-in realizado;Masculino;24;603,55;1;603,55;0,00;603,55;314,17;571;157;33;6;Positivo
103;2025-08-17;2025;8;Campus Party;Fortaleza;CE;Nordeste;Games;Família;Google;VIP;Pix;Confirmado;Masculino;15;345,36;1;345,36;0,00;345,36;177,22;21;3;1;6;Neutro
104;2026-02-25;2026;2;Encontro Cosplay;Curitiba;PR;Sul;Games;Adulto;TikTok;Camarote;Cartão Crédito;Confirmado;Masculino;24;671,83;3;2015,49;0,00;2015,49;724,98;810;51;45;8;Positivo
105;2025-01-09;2025;1;Campus Party;Belo Horizonte;MG;Sudeste;K-pop;Jovem adulto;TikTok;Pista;Cartão Débito;Cancelado;Feminino;52;76,21;1;76,21;0,00;0,00;16,74;468;75;40;4;Negativo
106;2026-02-14;2026;2;Feira Geek Local;Belém;PA;Norte;Tecnologia;Jovem adulto;Email Marketing;Pista;Cartão Débito;Confirmado;Feminino;50;64,51;1;64,51;3,23;61,28;44,50;26;3;1;3;Negativo
107;2025-08-04;2025;8;Maratona Streamer;Salvador;BA;Nordeste;Cosplay;Adulto;TikTok;Pista;Pix;Confirmado;Feminino;49;114,14;3;342,42;51,36;291,06;225,61;10650;1631;1247;1;Neutro
108;2025-03-07;2025;3;Anime Friends;Brasília;DF;Centro-Oeste;Anime;Jovem adulto;TikTok;Pista;Carteira Digital;Confirmado;Não informado;43;215,03;2;430,06;0,00;430,06;268,61;2440;582;199;9;Positivo
109;2026-02-04;2026;2;Lançamento Indie;Belo Horizonte;MG;Sudeste;E-sports;Jovem adulto;TikTok;Pista;Cartão Crédito;Check-in realizado;Masculino;18;122,12;1;122,12;6,11;116,01;83,73;1568;121;120;5;Neutro
110;2026-01-30;2026;1;Encontro Cosplay;Florianópolis;SC;Sul;Games;Jovem adulto;TikTok;VIP;Cartão Débito;Check-in realizado;Feminino;40;326,39;1;326,39;65,28;261,11;131,97;149;35;14;7;Muito positivo
111;2025-04-04;2025;4;Maratona Streamer;Goiânia;GO;Centro-Oeste;Anime;Jovem adulto;Instagram;Pista;Pix;Confirmado;Não informado;22;131,19;1;131,19;0,00;131,19;52,28;2471;143;51;2;Negativo
112;2025-01-15;2025;1;Feira Geek Local;Indaiatuba;SP;Sudeste;Quadrinhos;Jovem adulto;TikTok;Pista;Cartão Crédito;Confirmado;Masculino;54;107,36;2;214,72;10,74;203,98;91,97;4028;475;165;1;Negativo
113;2025-12-11;2025;12;Torneio E-sports;Indaiatuba;SP;Sudeste;Anime;Jovem adulto;Instagram;Pista;Pix;Confirmado;Feminino;43;46,01;2;92,02;0,00;92,02;30,34;192;43;14;10;Positivo
114;2025-12-12;2025;12;Festival K-pop;Recife;PE;Nordeste;Anime;Adolescente;TikTok;Pista;Cartão Crédito;Confirmado;Feminino;29;118,74;1;118,74;0,00;118,74;77,79;1239;274;116;5;Positivo
115;2025-03-29;2025;3;Anime Friends;Goiânia;GO;Centro-Oeste;Tecnologia;Jovem adulto;Instagram;Pista;Pix;Check-in realizado;Masculino;50;129,51;1;129,51;6,48;123,03;90,63;913;169;39;1;Negativo
116;2025-10-08;2025;10;Anime Friends;Fortaleza;CE;Nordeste;K-pop;Jovem adulto;Instagram;Pista;Pix;Confirmado;Não informado;44;171,24;1;171,24;0,00;171,24;55,61;1529;378;136;2;Neutro
117;2025-05-19;2025;5;Brasil Game Show;Goiânia;GO;Centro-Oeste;K-pop;Família;YouTube;Meet & Greet;Pix;Confirmado;Masculino;51;1037,08;1;1037,08;0,00;1037,08;380,97;1137;148;62;10;Muito positivo
118;2025-03-09;2025;3;Campus Party;Brasília;DF;Centro-Oeste;Anime;Jovem adulto;TikTok;Pista;Cartão Crédito;Confirmado;Masculino;22;77,60;1;77,60;7,76;69,84;53,88;5205;698;156;8;Muito positivo
