sale_id,order_id,date_id,product_id,region_id,customer_id,channel_id,quantidade,preco_unitario,valor_bruto,valor_desconto,valor_devolucao,valor_liquido,custo_total,lucro,cenario_analitico
49,PED-100048,20230103,5,8,122,3,2,1799.06,3598.13,302.52,100.92,3194.69,2565.93,628.76,Normal
50,PED-100049,20230103,7,8,137,3,3,1504.25,4512.75,515.48,103.51,3893.76,2936.51,957.25,Normal
51,PED-100050,20230103,1,9,132,1,1,4502.1,4502.1,317.78,72.96,4111.36,2972.65,1138.71,Normal
52,PED-100051,20230103,6,9,29,3,2,2594.57,5189.15,562.96,149.7,4476.49,3736.48,740.01,Normal
53,PED-100052,20230103,11,2,151,3,4,659.24,2636.96,288.57,35.1,2313.29,1668.62,644.67,Normal
54,PED-100053,20230103,4,8,131,1,1,1455.25,1455.25,118.58,3.49,1333.18,925.45,407.73,Normal
55,PED-100054,20230103,7,10,85,1,2,1352.27,2704.54,160.26,20.38,2523.89,1986.48,537.41,Normal
56,PED-100055,20230103,4,8,46,1,4,1334.95,5339.81,165.81,50.09,5123.91,3752.51,1371.4,Normal
57,PED-100056,20230103,5,4,36,1,3,1904.7,5714.11,173.38,160.57,5380.17,3728.5,1651.66,Normal
58,PED-100057,20230103,5,4,36,1,1,1749.51,1749.51,75.94,26.47,1647.11,1300.24,346.86,Normal
59,PED-100058,20230103,11,7,35,2,1,679.99,679.99,29.11,9.62,641.26,408.76,232.5,Normal
60,PED-100059,20230103,5,8,160,3,2,1868.5,3737.0,303.12,28.73,3405.15,2498.39,906.76,Normal
61,PED-100060,20230103,6,3,139,1,3,2452.8,7358.39,442.75,38.58,6877.06,5674.17,1202.89,Normal
62,PED-100061,20230103,9,3,86,3,5,432.73,2163.66,190.41,54.06,1919.19,1202.78,716.41,Normal
63,PED-100062,20230103,15,9,29,1,4,791.61,3166.42,129.84,65.6,2970.98,2144.53,826.45,Normal
64,PED-100063,20230103,5,7,68,2,1,1794.08,1794.08,22.11,0.74,1771.24,1304.46,466.78,Normal
65,PED-100064,20230103,6,8,67,2,2,2439.08,4878.16,160.3,80.43,4637.42,3761.1,876.32,Normal
66,PED-100065,20230103,16,6,115,1,4,438.26,1753.05,84.17,36.47,1632.4,990.24,642.16,Normal
67,PED-100066,20230103,3,8,160,1,1,954.09,954.09,44.22,22.28,887.59,603.81,283.78,Normal
68,PED-100067,20230103,5,4,36,1,2,1701.91,3403.82,145.16,13.28,3245.39,2519.14,726.24,Normal
69,PED-100068,20230103,5,5,102,1,3,1717.36,5152.09,277.43,50.08,4824.58,3837.56,987.02,Normal
70,PED-100069,20230103,5,7,75,1,3,1838.36,5515.07,523.32,110.05,4881.7,3861.09,1020.61,Normal
71,PED-100070,20230103,14,1,136,2,8,8.59,68.72,01.02,0.03,67.67,24.07,43.6,Normal
72,PED-100071,20230103,13,5,18,2,3,30.0,90.0,4.64,1.68,83.67,37.7,45.97,Normal
73,PED-100072,20230103,1,10,68,2,1,4408.91,4408.91,216.77,46.6,4145.54,3017.76,1127.78,Normal
74,PED-100073,20230104,14,6,115,2,9,8.38,75.44,1.48,1.44,72.51,27.89,44.63,Normal
75,PED-100074,20230104,13,10,159,2,14,29.25,409.44,18.89,2.51,388.04,172.53,215.51,Normal
76,PED-100075,20230104,16,1,80,2,4,391.59,1566.34,88.8,38.05,1439.49,1038.48,401.01,Normal
77,PED-100076,20230104,6,10,22,1,3,2763.02,8289.07,606.23,106.61,7576.23,5410.53,2165.7,Normal
78,PED-100077,20230104,6,3,15,2,3,2652.51,7957.54,303.43,32.16,7621.95,5400.24,2221.71,Normal
79,PED-100078,20230104,14,6,70,1,3,7.5,22.5,1.27,0.23,21.0,9.33,11.67,Normal
80,PED-100079,20230104,8,6,25,1,2,2130.63,4261.25,130.84,35.13,4095.28,3082.03,1013.26,Normal
81,PED-100080,20230104,5,6,23,1,1,1940.32,1940.32,130.68,6.58,1803.06,1297.42,505.64,Normal
82,PED-100081,20230104,16,1,147,3,4,409.72,1638.88,94.4,23.25,1521.24,1028.79,492.44,Normal
83,PED-100082,20230104,6,6,25,1,3,2802.23,8406.69,728.81,116.06,7561.82,5646.87,1914.94,Normal
84,PED-100083,20230104,14,7,10,1,5,7.71,38.56,2.44,0.49,35.63,15.68,19.95,Normal
85,PED-100084,20230104,3,10,32,2,2,845.01,1690.02,72.47,44.77,1572.78,1205.37,367.41,Normal
86,PED-100085,20230104,11,2,89,1,2,630.75,1261.51,90.0,23.09,1148.42,797.33,351.09,Normal
87,PED-100086,20230104,1,6,82,3,3,4207.8,12623.39,723.56,231.95,11667.88,9292.24,2375.64,Normal
88,PED-100087,20230104,14,10,158,2,15,7.95,119.21,05.08,0.93,113.21,44.88,68.33,Normal
89,PED-100088,20230104,5,3,15,2,1,1876.21,1876.21,93.26,11.4,1771.55,1307.3,464.25,Normal
90,PED-100089,20230104,12,8,97,2,1,924.91,924.91,47.84,10.01,867.06,637.69,229.36,Normal
91,PED-100090,20230104,11,4,51,3,3,654.49,1963.46,191.05,56.56,1715.85,1203.22,512.63,Normal
92,PED-100091,20230104,11,5,123,3,2,687.5,1375.0,143.41,11.89,1219.71,805.55,414.16,Normal
93,PED-100092,20230104,14,9,156,1,16,8.12,129.99,7.23,3.23,119.53,48.83,70.69,Normal
94,PED-100093,20230104,14,10,107,2,16,8.5,135.99,6.17,3.54,126.28,48.79,77.49,Normal
95,PED-100094,20230104,14,10,113,1,12,8.5,102.0,4.21,01.04,96.76,36.48,60.27,Normal
96,PED-100095,20230104,10,3,87,2,5,369.39,1846.95,29.8,45.57,1771.57,990.07,781.5,Normal
97,PED-100096,20230104,5,8,154,1,3,1932.08,5796.25,382.57,138.85,5274.83,3923.15,1351.68,Normal
98,PED-100097,20230104,5,6,131,1,3,1706.1,5118.29,457.97,147.17,4513.15,3921.85,591.31,Normal
99,PED-100098,20230104,5,3,135,2,3,1702.76,5108.27,83.61,138.59,4886.07,3823.66,1062.41,Normal
100,PED-100099,20230104,10,7,72,3,2,373.97,747.93,51.5,22.19,674.24,399.92,274.31,Normal
101,PED-100100,20230104,9,3,39,1,1,391.17,391.17,32.98,7.63,350.55,241.84,108.72,Normal
102,PED-100101,20230104,13,7,154,3,7,27.71,193.94,14.72,1.66,177.56,89.23,88.33,Normal
103,PED-100102,20230105,13,5,55,1,4,26.43,105.74,7.77,2.91,95.06,49.18,45.88,Normal
104,PED-100103,20230105,1,7,154,1,1,4350.86,4350.86,430.93,68.14,3851.79,3113.46,738.32,Normal
105,PED-100104,20230105,14,9,128,1,10,7.55,75.54,3.97,0.04,71.53,29.99,41.53,Normal
106,PED-100105,20230105,14,9,26,2,15,7.65,114.82,4.51,2.29,108.02,46.64,61.38,Normal
107,PED-100106,20230105,7,5,40,3,3,1492.71,4478.12,520.1,0.82,3957.2,3005.4,951.8,Normal
108,PED-100107,20230105,10,10,79,2,3,367.61,1102.84,63.24,01.06,1038.54,577.85,460.69,Normal
109,PED-100108,20230105,3,7,124,1,2,918.43,1836.86,73.84,40.03,1722.99,1179.03,543.96,Normal
110,PED-100109,20230105,11,6,33,1,3,689.11,2067.34,155.25,1.26,1910.83,1237.38,673.44,Normal
111,PED-100110,20230105,13,7,31,1,14,28.25,395.55,24.76,11.86,358.93,173.05,185.88,Normal
112,PED-100111,20230105,4,6,119,1,3,1492.87,4478.6,391.93,130.67,3956.0,2726.25,1229.75,Normal
113,PED-100112,20230105,16,3,77,1,3,400.13,1200.4,102.0,4.4,1094.01,749.47,344.54,Normal
114,PED-100113,20230105,3,10,159,1,1,888.05,888.05,28.23,19.38,840.45,611.74,228.71,Normal
115,PED-100114,20230105,9,6,83,1,4,449.41,1797.64,58.33,41.48,1697.83,997.17,700.66,Normal
116,PED-100115,20230105,12,4,43,2,1,914.32,914.32,33.89,26.24,854.2,629.38,224.82,Normal
117,PED-100116,20230105,7,4,150,2,2,1312.83,2625.65,152.12,21.83,2451.7,2052.42,399.28,Normal
118,PED-100117,20230105,12,9,121,2,2,933.5,1867.0,58.21,10.44,1798.36,1256.7,541.66,Normal
119,PED-100118,20230105,14,9,152,3,12,08.09,97.11,8.36,02.01,86.74,35.92,50.82,Normal
120,PED-100119,20230105,13,9,29,2,10,29.48,294.8,11.14,4.29,279.38,126.91,152.47,Normal
121,PED-100120,20230105,2,7,69,2,1,5220.99,5220.99,310.15,68.67,4842.17,3613.16,1229.01,Normal
122,PED-100121,20230105,14,8,92,2,7,8.41,58.89,1.85,1.24,55.8,21.41,34.39,Normal
123,PED-100122,20230105,10,6,63,2,5,332.47,1662.33,84.08,33.61,1544.64,974.62,570.02,Normal
124,PED-100123,20230105,4,4,14,3,1,1400.68,1400.68,107.66,05.01,1288.01,919.1,368.91,Normal
125,PED-100124,20230105,11,8,20,2,3,644.24,1932.71,41.37,9.12,1882.22,1229.46,652.76,Normal
126,PED-100125,20230105,13,8,18,2,9,28.85,259.65,7.4,1.66,250.59,114.55,136.04,Normal
127,PED-100126,20230105,14,3,59,1,14,8.27,115.81,10.2,0.12,105.49,42.54,62.95,Normal
128,PED-100127,20230105,5,8,152,1,2,1706.72,3413.45,146.38,97.73,3169.34,2581.21,588.13,Normal
129,PED-100128,20230105,8,10,158,2,3,2084.91,6254.73,135.1,169.58,5950.05,4642.11,1307.94,Normal
130,PED-100129,20230105,5,7,87,2,2,1862.9,3725.8,42.36,77.81,3605.63,2614.82,990.81,Normal
131,PED-100130,20230105,1,4,43,3,1,4448.73,4448.73,325.01,49.13,4074.59,2970.62,1103.97,Normal
132,PED-100131,20230105,1,5,148,3,1,3929.46,3929.46,267.85,81.98,3579.63,3009.88,569.75,Normal
133,PED-100132,20230105,1,3,109,2,3,4206.03,12618.08,749.37,166.41,11702.3,9244.14,2458.16,Normal
134,PED-100133,20230106,1,1,27,2,2,4369.68,8739.35,424.05,60.59,8254.72,6254.88,1999.83,Normal
135,PED-100134,20230106,5,6,119,1,2,1884.24,3768.48,261.81,45.5,3461.17,2615.81,845.36,Normal
136,PED-100135,20230106,1,9,121,3,2,4292.37,8584.74,918.24,6.77,7659.73,6090.56,1569.17,Normal
137,PED-100136,20230106,9,5,102,1,3,399.78,1199.33,108.94,23.15,1067.24,726.24,341.0,Normal
138,PED-100137,20230106,9,8,132,1,3,447.82,1343.47,79.49,12.67,1251.3,733.22,518.09,Normal
139,PED-100138,20230106,5,4,142,2,2,1842.26,3684.51,100.88,68.43,3515.2,2557.97,957.23,Normal
140,PED-100139,20230106,3,6,114,2,2,927.56,1855.12,52.17,41.6,1761.35,1226.27,535.07,Normal
141,PED-100140,20230106,11,9,101,2,1,685.43,685.43,37.91,2.31,645.2,405.59,239.62,Normal
142,PED-100141,20230106,1,1,34,3,3,4379.23,13137.68,1356.16,153.34,11628.17,9299.68,2328.49,Normal
143,PED-100142,20230106,1,10,28,1,2,4367.56,8735.13,414.07,96.63,8224.43,6225.59,1998.84,Normal
144,PED-100143,20230106,12,9,28,1,1,1057.85,1057.85,58.07,13.6,986.18,645.11,341.07,Normal
145,PED-100144,20230106,3,7,124,2,2,951.57,1903.15,35.13,40.3,1827.71,1174.68,653.03,Normal
146,PED-100145,20230106,6,8,137,2,2,2455.09,4910.18,82.72,116.78,4710.67,3662.38,1048.29,Normal
147,PED-100146,20230106,11,3,44,1,2,664.32,1328.64,82.94,3.59,1242.1,838.07,404.03,Normal
148,PED-100147,20230106,12,4,14,1,3,934.48,2803.43,217.97,63.21,2522.26,1864.41,657.84,Normal
149,PED-100148,20230106,7,7,154,2,1,1367.94,1367.94,47.36,8.23,1312.35,1016.53,295.82,Normal
150,PED-100149,20230106,5,5,2,2,2,1889.88,3779.76,80.8,18.93,3680.03,2472.56,1207.46,Normal
151,PED-100150,20230106,7,8,113,3,3,1463.3,4389.9,283.44,50.6,4055.86,3019.69,1036.17,Normal
152,PED-100151,20230106,12,4,14,3,2,984.81,1969.62,116.15,47.61,1805.86,1275.75,530.11,Normal
153,PED-100152,20230106,12,6,70,2,1,1004.07,1004.07,46.0,19.77,938.31,646.59,291.72,Normal
154,PED-100153,20230106,11,2,82,3,1,608.9,608.9,46.88,6.27,555.75,414.69,141.06,Normal
155,PED-100154,20230106,3,4,150,3,1,896.93,896.93,101.27,18.23,777.44,604.15,173.29,Normal
156,PED-100155,20230106,14,8,111,2,5,7.48,37.4,1.21,0.76,35.43,14.98,20.45,Normal
157,PED-100156,20230106,7,1,136,2,2,1303.61,2607.22,122.68,21.27,2463.27,2032.34,430.93,Normal
158,PED-100157,20230106,5,8,137,2,1,1867.47,1867.47,61.57,38.58,1767.32,1268.41,498.91,Normal
159,PED-100158,20230106,12,8,122,3,2,936.25,1872.51,159.1,40.74,1672.67,1235.58,437.09,Normal
160,PED-100159,20230106,6,5,54,1,2,2767.78,5535.57,519.24,155.66,4860.66,3776.83,1083.83,Normal
161,PED-100160,20230106,13,8,46,1,5,26.5,132.51,8.12,2.23,122.17,60.37,61.8,Normal
162,PED-100161,20230107,11,7,139,1,4,640.32,2561.28,123.06,03.06,2435.16,1648.1,787.07,Normal
163,PED-100162,20230107,3,1,96,2,3,864.28,2592.84,115.26,14.54,2463.05,1805.94,657.1,Normal
164,PED-100163,20230107,5,5,40,1,2,1873.6,3747.21,323.25,108.26,3315.69,2529.41,786.29,Normal
165,PED-100164,20230107,14,10,28,1,16,08.04,128.62,4.1,0.58,123.94,48.35,75.59,Normal
166,PED-100165,20230107,2,7,124,1,1,5495.64,5495.64,395.14,144.67,4955.83,3818.71,1137.12,Normal
167,PED-100166,20230107,6,10,107,2,2,2507.77,5015.54,242.31,99.53,4673.7,3603.57,1070.13,Normal
168,PED-100167,20230107,1,10,28,1,2,4157.05,8314.09,288.02,57.16,7968.91,6247.49,1721.42,Normal
169,PED-100168,20230107,14,9,26,2,11,8.61,94.71,3.84,0.49,90.38,34.77,55.61,Normal
170,PED-100169,20230107,10,8,73,3,5,343.04,1715.22,127.9,2.66,1584.67,967.4,617.27,Normal
171,PED-100170,20230107,2,6,138,2,3,5018.61,15055.83,327.8,420.68,14307.35,11338.7,2968.65,Normal
172,PED-100171,20230107,7,7,76,2,2,1316.81,2633.62,48.96,02.01,2582.65,1988.3,594.35,Normal
173,PED-100172,20230107,4,9,90,2,1,1336.36,1336.36,35.89,24.26,1276.21,955.73,320.47,Normal
174,PED-100173,20230107,9,2,106,1,2,440.59,881.18,39.52,19.52,822.13,505.18,316.95,Normal
175,PED-100174,20230107,4,10,129,1,2,1487.64,2975.28,159.65,51.43,2764.2,1876.98,887.22,Normal
176,PED-100175,20230107,5,8,126,3,2,1731.08,3462.16,353.71,67.12,3041.33,2609.2,432.12,Normal
177,PED-100176,20230107,3,8,122,2,1,956.44,956.44,42.63,19.11,894.69,595.14,299.55,Normal
178,PED-100177,20230108,13,1,116,2,15,28.24,423.57,23.56,10.74,389.27,189.21,200.06,Normal
179,PED-100178,20230108,1,1,67,1,2,4253.81,8507.62,429.57,251.16,7826.89,6032.91,1793.98,Normal
180,PED-100179,20230108,14,1,136,1,6,7.77,46.64,1.99,0.03,44.62,18.12,26.5,Normal
181,PED-100180,20230108,11,1,98,1,3,697.41,2092.22,82.57,12.0,1997.65,1215.33,782.33,Normal
182,PED-100181,20230108,13,5,94,3,12,27.35,328.26,17.19,7.98,303.09,146.03,157.06,Normal
183,PED-100182,20230108,12,4,121,1,1,977.6,977.6,85.31,0.41,891.89,648.45,243.44,Normal
184,PED-100183,20230108,6,9,7,2,2,2648.78,5297.57,147.61,120.58,5029.37,3580.43,1448.94,Normal
185,PED-100184,20230108,11,5,117,1,1,606.64,606.64,50.84,17.57,538.22,403.13,135.09,Normal
186,PED-100185,20230108,3,6,60,2,4,971.47,3885.88,134.02,25.62,3726.24,2400.82,1325.42,Normal
187,PED-100186,20230108,13,4,86,2,13,29.85,388.0,21.59,0.64,365.77,157.72,208.05,Normal
188,PED-100187,20230108,4,2,151,3,1,1322.83,1322.83,117.56,21.06,1184.21,909.34,274.87,Normal
189,PED-100188,20230108,5,9,101,1,2,1727.19,3454.38,336.09,25.36,3092.93,2507.01,585.91,Normal
190,PED-100189,20230108,13,4,150,1,17,28.63,486.63,41.48,13.86,431.3,209.99,221.31,Normal
191,PED-100190,20230108,2,8,46,2,3,4779.22,14337.65,218.08,61.21,14058.37,10796.95,3261.42,Normal
192,PED-100191,20230108,5,5,117,2,1,1924.8,1924.8,85.0,37.85,1801.95,1276.8,525.16,Normal
193,PED-100192,20230108,13,1,74,2,3,28.78,86.33,05.05,2.14,79.13,38.38,40.75,Normal
194,PED-100193,20230109,10,8,34,1,3,342.18,1026.54,72.61,28.89,925.05,586.28,338.77,Normal
195,PED-100194,20230109,4,10,134,2,1,1477.77,1477.77,19.32,43.1,1415.35,910.88,504.47,Normal
196,PED-100195,20230109,12,6,60,3,1,1024.02,1024.02,94.13,15.4,914.49,638.1,276.39,Normal
197,PED-100196,20230109,6,3,45,1,1,2665.07,2665.07,202.46,37.75,2424.86,1800.64,624.22,Normal
198,PED-100197,20230109,5,9,101,2,3,1861.13,5583.4,73.09,123.76,5386.55,3874.49,1512.06,Normal
199,PED-100198,20230109,8,7,116,3,3,2257.06,6771.18,549.9,16.54,6204.74,4698.5,1506.23,Normal
200,PED-100199,20230109,16,9,64,2,5,397.71,1988.53,35.41,58.59,1894.53,1258.74,635.79,Normal
201,PED-100200,20230109,3,3,158,1,2,945.66,1891.31,153.5,44.65,1693.16,1207.39,485.77,Normal
202,PED-100201,20230109,9,7,52,3,1,416.73,416.73,40.82,3.35,372.56,240.96,131.6,Normal
203,PED-100202,20230109,7,5,155,2,2,1444.67,2889.34,170.88,46.15,2672.31,1972.29,700.02,Normal
204,PED-100203,20230109,11,9,29,3,2,613.81,1227.61,124.43,27.35,1075.83,818.0,257.83,Normal
205,PED-100204,20230109,14,2,53,2,13,7.81,101.54,3.57,1.7,96.27,39.3,56.97,Normal
206,PED-100205,20230109,8,10,5,1,1,2360.49,2360.49,87.57,55.79,2217.13,1579.25,637.88,Normal
207,PED-100206,20230109,1,6,12,1,3,3936.32,11808.96,689.66,220.75,10898.55,9370.95,1527.6,Normal
208,PED-100207,20230109,5,4,14,1,1,1897.56,1897.56,109.28,53.86,1734.42,1285.99,448.43,Normal
209,PED-100208,20230109,7,3,86,2,3,1344.23,4032.7,147.48,90.57,3794.65,2965.47,829.17,Normal
210,PED-100209,20230109,5,6,133,1,3,1716.08,5148.23,230.35,40.19,4877.69,3912.98,964.71,Normal
211,PED-100210,20230109,9,8,73,3,5,407.1,2035.5,173.58,28.5,1833.42,1251.74,581.68,Normal
212,PED-100211,20230109,11,6,142,1,3,661.0,1983.0,179.09,06.06,1797.85,1206.66,591.19,Normal
213,PED-100212,20230109,14,5,37,2,3,7.49,22.46,0.39,0.22,21.85,9.13,12.73,Normal
214,PED-100213,20230109,16,7,56,1,2,442.6,885.21,81.79,24.3,779.12,509.26,269.86,Normal
215,PED-100214,20230109,13,4,132,3,4,29.97,119.89,7.99,0.97,110.93,48.57,62.36,Normal
216,PED-100215,20230109,9,8,79,1,3,434.96,1304.87,126.9,30.96,1147.01,722.58,424.43,Normal
217,PED-100216,20230109,4,3,86,1,2,1508.97,3017.94,268.39,38.31,2711.24,1893.07,818.17,Normal
218,PED-100217,20230109,6,3,77,2,2,2649.59,5299.18,128.09,106.43,5064.66,3598.12,1466.54,Normal
219,PED-100218,20230109,1,5,55,1,2,3943.49,7886.97,748.04,75.5,7063.43,5991.26,1072.17,Normal
220,PED-100219,20230109,11,3,77,2,4,621.64,2486.58,79.87,52.36,2354.35,1641.0,713.35,Normal
221,PED-100220,20230109,11,8,151,2,2,609.26,1218.53,48.56,23.51,1146.46,819.01,327.45,Normal
222,PED-100221,20230109,14,4,91,2,5,8.53,42.67,1.71,0.3,40.66,15.19,25.47,Normal
223,PED-100222,20230109,10,3,15,2,2,351.74,703.48,35.57,13.82,654.1,399.15,254.95,Normal
224,PED-100223,20230109,2,8,50,2,3,4789.9,14369.69,454.6,11.09,13904.0,10884.24,3019.75,Normal
225,PED-100224,20230109,5,2,82,1,1,1922.74,1922.74,140.75,41.62,1740.37,1260.22,480.15,Normal
226,PED-100225,20230109,13,5,117,2,13,30.08,391.02,08.06,0.92,382.04,161.61,220.44,Normal
227,PED-100226,20230109,10,1,74,1,1,374.49,374.49,19.51,7.78,347.2,201.71,145.49,Normal
228,PED-100227,20230110,3,7,122,3,4,929.4,3717.6,235.47,110.19,3371.93,2412.45,959.49,Normal
229,PED-100228,20230110,4,6,144,2,3,1373.69,4121.08,181.81,15.95,3923.31,2849.8,1073.51,Normal
230,PED-100229,20230110,1,7,105,1,2,3981.71,7963.43,511.41,78.9,7373.12,6188.02,1185.1,Normal
231,PED-100230,20230110,7,10,107,2,3,1322.72,3968.15,143.05,70.11,3754.99,3052.95,702.04,Normal
232,PED-100231,20230110,5,9,6,1,1,1909.68,1909.68,190.04,6.23,1713.42,1282.51,430.91,Normal
233,PED-100232,20230110,14,5,117,1,16,8.27,132.38,11.24,0.07,121.07,49.4,71.67,Normal
234,PED-100233,20230110,12,3,1,1,4,973.0,3892.02,280.28,94.81,3516.93,2585.29,931.65,Normal
235,PED-100234,20230110,11,10,79,1,3,668.09,2004.27,136.81,59.03,1808.42,1245.42,563.0,Normal
236,PED-100235,20230110,6,10,107,2,1,2478.17,2478.17,86.68,58.77,2332.72,1832.01,500.71,Normal
237,PED-100236,20230110,12,8,142,3,3,943.32,2829.96,225.25,48.62,2556.09,1953.89,602.2,Normal
238,PED-100237,20230110,12,9,26,2,3,1001.65,3004.96,31.28,64.85,2908.83,1907.05,1001.78,Normal
239,PED-100238,20230110,4,8,50,2,1,1353.81,1353.81,43.88,30.33,1279.6,936.24,343.36,Normal
240,PED-100239,20230110,10,3,22,1,4,367.98,1471.94,56.52,20.37,1395.04,774.07,620.97,Normal
241,PED-100240,20230110,9,1,72,1,4,445.01,1780.06,79.69,47.12,1653.25,993.74,659.52,Normal
242,PED-100241,20230110,11,4,69,2,3,625.45,1876.34,106.49,11.55,1758.3,1252.38,505.93,Normal
243,PED-100242,20230110,5,2,19,1,1,1811.1,1811.1,92.02,20.83,1698.25,1244.86,453.39,Normal
